immune_id,tumor_id,score
5,0.0,2.0
6,0.0,2.0
7,6.0,0.2142857142857142
8,8.0,0.26190476190476186
9,0.0,2.0
10,7.0,1.1428571428571428
11,10.0,0.3095238095238094
12,0.0,2.0
13,17.0,1.4047619047619049
14,0.0,2.0
15,0.0,2.0
16,0.0,2.0
17,0.0,2.0
18,0.0,2.0
19,0.0,2.0
20,18.0,0.3095238095238094
21,15.0,0.6666666666666665
22,0.0,2.0
23,0.0,2.0
24,23.0,1.2857142857142858
25,0.0,2.0
26,0.0,2.0
27,0.0,2.0
28,0.0,2.0
29,0.0,2.0
30,27.0,0.16666666666666652
31,0.0,2.0
32,0.0,2.0
33,0.0,2.0
34,0.0,2.0
35,0.0,2.0
36,30.0,0.7142857142857142
37,26.0,0.6666666666666665
38,0.0,2.0
39,36.0,0.1428571428571428
40,0.0,2.0
41,0.0,2.0
42,0.0,2.0
44,0.0,2.0
45,0.0,2.0
46,0.0,2.0
47,0.0,2.0
48,0.0,2.0
50,0.0,2.0
51,0.0,2.0
52,38.0,0.7619047619047619
53,49.0,0.5714285714285714
55,47.0,0.16666666666666652
56,50.0,0.07142857142857129
57,0.0,2.0
59,0.0,2.0
60,46.0,0.19047619047619035
61,0.0,2.0
62,0.0,2.0
63,0.0,2.0
64,55.0,0.33333333333333315
65,0.0,2.0
67,52.0,0.16666666666666652
68,0.0,2.0
69,66.0,0.2142857142857142
70,0.0,2.0
71,0.0,2.0
73,54.0,0.2142857142857142
75,60.0,0.09523809523809523
76,0.0,2.0
77,62.0,0.619047619047619
78,0.0,2.0
79,56.0,0.1428571428571428
80,0.0,2.0
81,0.0,2.0
82,63.0,0.6904761904761905
83,0.0,2.0
85,0.0,2.0
86,0.0,2.0
87,0.0,2.0
88,67.0,0.0
90,0.0,2.0
91,78.0,0.11904761904761896
92,76.0,0.3095238095238094
93,84.0,0.16666666666666652
94,0.0,2.0
95,0.0,2.0
96,93.0,0.3095238095238094
98,0.0,2.0
99,92.0,0.2857142857142856
100,0.0,2.0
101,0.0,2.0
102,101.0,0.2857142857142856
103,0.0,2.0
104,74.0,0.19047619047619035
105,0.0,2.0
106,77.0,0.09523809523809523
107,90.0,0.26190476190476186
108,0.0,2.0
109,0.0,2.0
110,82.0,0.5476190476190477
111,70.0,0.38095238095238093
112,0.0,2.0
113,0.0,2.0
114,96.0,0.023809523809523725
115,0.0,2.0
116,0.0,2.0
119,0.0,2.0
120,106.0,0.19047619047619035
121,115.0,0.8571428571428571
122,111.0,0.3095238095238094
123,0.0,2.0
124,0.0,2.0
125,0.0,2.0
126,0.0,2.0
128,121.0,0.07142857142857129
129,107.0,0.11904761904761896
130,0.0,2.0
131,0.0,2.0
132,0.0,2.0
133,117.0,0.09523809523809523
134,134.0,0.09523809523809523
135,0.0,2.0
136,0.0,2.0
137,127.0,0.11904761904761896
138,0.0,2.0
139,0.0,2.0
140,0.0,2.0
141,139.0,0.1428571428571428
142,0.0,2.0
143,0.0,2.0
144,132.0,0.07142857142857129
145,0.0,2.0
146,138.0,0.09523809523809523
148,124.0,0.45238095238095233
149,133.0,0.09523809523809523
150,0.0,2.0
151,153.0,0.3095238095238094
152,142.0,0.16666666666666652
153,0.0,2.0
154,0.0,2.0
155,128.0,1.0714285714285714
156,110.0,0.45238095238095233
157,0.0,2.0
158,122.0,0.9523809523809523
159,0.0,2.0
160,147.0,0.16666666666666652
161,0.0,2.0
162,0.0,2.0
163,0.0,2.0
164,163.0,0.2142857142857142
165,158.0,0.47619047619047605
166,0.0,2.0
167,0.0,2.0
168,0.0,2.0
169,151.0,0.9047619047619048
170,0.0,2.0
171,0.0,2.0
172,0.0,2.0
174,188.0,0.2142857142857142
175,150.0,0.5952380952380951
176,146.0,0.9047619047619048
177,164.0,0.09523809523809523
178,187.0,0.2142857142857142
179,0.0,2.0
180,156.0,0.04761904761904756
181,0.0,2.0
182,165.0,0.09523809523809523
183,0.0,2.0
184,0.0,2.0
185,159.0,0.7619047619047619
186,0.0,2.0
188,0.0,2.0
189,167.0,0.7857142857142857
190,0.0,2.0
191,0.0,2.0
192,186.0,0.09523809523809523
193,0.0,2.0
194,189.0,0.09523809523809523
195,174.0,0.09523809523809523
196,0.0,2.0
197,0.0,2.0
201,0.0,2.0
202,0.0,2.0
203,0.0,2.0
204,196.0,0.04761904761904756
205,0.0,2.0
206,0.0,2.0
207,205.0,0.09523809523809523
209,0.0,2.0
210,0.0,2.0
211,0.0,2.0
212,192.0,0.0
213,0.0,2.0
214,199.0,0.07142857142857129
215,0.0,2.0
216,208.0,0.07142857142857129
217,215.0,0.33333333333333315
218,0.0,2.0
219,0.0,2.0
222,191.0,0.023809523809523725
223,0.0,2.0
225,223.0,0.09523809523809523
226,0.0,2.0
227,247.0,0.2857142857142856
228,237.0,0.33333333333333315
229,0.0,2.0
232,220.0,0.09523809523809523
233,221.0,0.19047619047619035
234,0.0,2.0
235,239.0,0.9047619047619048
240,203.0,0.023809523809523725
241,225.0,0.3571428571428571
242,0.0,2.0
243,0.0,2.0
244,0.0,2.0
245,0.0,2.0
246,222.0,0.26190476190476186
247,0.0,2.0
248,233.0,0.07142857142857129
249,264.0,0.16666666666666652
251,0.0,2.0
252,267.0,0.04761904761904756
253,0.0,2.0
255,0.0,2.0
256,248.0,0.04761904761904756
257,0.0,2.0
259,243.0,0.0
260,257.0,0.3095238095238094
261,228.0,0.16666666666666652
262,0.0,2.0
263,254.0,0.11904761904761896
264,0.0,2.0
265,236.0,0.07142857142857129
266,0.0,2.0
267,231.0,0.40476190476190466
269,0.0,2.0
270,0.0,2.0
271,283.0,0.1428571428571428
272,266.0,0.023809523809523725
274,272.0,0.47619047619047605
275,0.0,2.0
277,0.0,2.0
278,277.0,0.47619047619047605
279,0.0,2.0
280,251.0,0.3095238095238094
281,0.0,2.0
283,260.0,0.023809523809523725
284,0.0,2.0
285,0.0,2.0
286,0.0,2.0
287,284.0,0.23809523809523792
289,0.0,2.0
290,258.0,0.04761904761904756
291,0.0,2.0
292,0.0,2.0
294,0.0,2.0
295,0.0,2.0
296,0.0,2.0
297,0.0,2.0
298,281.0,0.023809523809523725
299,273.0,0.023809523809523725
300,0.0,2.0
301,0.0,2.0
302,280.0,0.16666666666666652
303,310.0,0.19047619047619035
305,301.0,0.19047619047619035
306,290.0,0.1428571428571428
308,0.0,2.0
310,279.0,0.07142857142857129
311,0.0,2.0
312,0.0,2.0
313,287.0,0.09523809523809523
314,295.0,0.738095238095238
315,0.0,2.0
317,0.0,2.0
318,321.0,0.0
319,292.0,0.07142857142857129
321,0.0,2.0
322,0.0,2.0
323,286.0,0.023809523809523725
324,0.0,2.0
325,0.0,2.0
326,0.0,2.0
327,320.0,0.07142857142857129
328,0.0,2.0
329,0.0,2.0
330,0.0,2.0
331,324.0,1.119047619047619
332,317.0,0.5714285714285714
334,306.0,0.11904761904761896
