immune_id,tumor_id,score
2,0.0,2.0
3,0.0,2.0
4,0.0,2.0
5,0.0,2.0
6,0.0,2.0
7,0.0,2.0
8,0.0,2.0
9,0.0,2.0
10,0.0,2.0
11,0.0,2.0
12,29.0,1.5
13,0.0,2.0
14,0.0,2.0
15,0.0,2.0
16,41.0,0.2857142857142856
17,0.0,2.0
18,0.0,2.0
19,0.0,2.0
20,0.0,2.0
21,0.0,2.0
22,0.0,2.0
23,0.0,2.0
24,0.0,2.0
25,0.0,2.0
26,0.0,2.0
27,0.0,2.0
28,45.0,1.0
29,0.0,2.0
30,0.0,2.0
31,0.0,2.0
32,0.0,2.0
33,0.0,2.0
34,0.0,2.0
35,0.0,2.0
36,0.0,2.0
37,0.0,2.0
38,0.0,2.0
39,0.0,2.0
40,0.0,2.0
41,0.0,2.0
42,0.0,2.0
43,0.0,2.0
44,0.0,2.0
45,0.0,2.0
46,0.0,2.0
47,0.0,2.0
48,0.0,2.0
49,0.0,2.0
50,0.0,2.0
51,0.0,2.0
52,0.0,2.0
53,0.0,2.0
54,0.0,2.0
55,0.0,2.0
56,0.0,2.0
57,0.0,2.0
58,0.0,2.0
59,0.0,2.0
60,62.0,0.6428571428571428
61,0.0,2.0
63,0.0,2.0
64,0.0,2.0
65,66.0,0.5952380952380951
66,0.0,2.0
67,0.0,2.0
68,0.0,2.0
69,0.0,2.0
70,72.0,0.3095238095238094
71,0.0,2.0
72,0.0,2.0
73,0.0,2.0
74,0.0,2.0
75,0.0,2.0
76,0.0,2.0
77,0.0,2.0
78,70.0,0.9285714285714286
79,0.0,2.0
80,0.0,2.0
81,0.0,2.0
82,77.0,0.47619047619047605
83,0.0,2.0
84,78.0,0.5238095238095237
85,0.0,2.0
87,0.0,2.0
88,0.0,2.0
90,0.0,2.0
91,0.0,2.0
92,0.0,2.0
93,0.0,2.0
94,91.0,1.1428571428571428
95,0.0,2.0
96,0.0,2.0
97,0.0,2.0
98,0.0,2.0
99,0.0,2.0
100,89.0,0.6666666666666665
101,0.0,2.0
102,0.0,2.0
103,90.0,0.7142857142857142
104,0.0,2.0
105,108.0,1.0
106,0.0,2.0
107,0.0,2.0
108,0.0,2.0
109,0.0,2.0
110,96.0,1.4047619047619049
111,95.0,0.5238095238095237
112,92.0,0.45238095238095233
113,0.0,2.0
114,0.0,2.0
115,0.0,2.0
