CellID,CD3,Vimentin,aSMA,Ecad,Ki67,CD45,CK14,CK19,CK17,PCNA,PanCK,CD31,cross_cluster,x,y,cell_type_tumor
9,0.4652670724203196,0.5004168367765256,0.4957534273526653,0.5562952232610618,0.1193607502601582,0.3003260589822406,0.262791862121542,0.6722796609781134,0.4257199931099534,0.2853576214763265,0.7269528766486147,0.1406028805941705,Epithelial,253.44642857142856,1239.9107142857142,aSMA+ Stroma
10,0.3062155952842489,0.4795113724306044,0.4751065694722601,0.5280686152496559,0.1126560616619436,0.2786188245158791,0.2759354543002026,0.6501458254673997,0.5225606915125716,0.2921251764021061,0.7201810160114431,0.163354564778515,Epithelial,255.88936170212767,1260.6893617021276,aSMA+ Stroma
16,0.4101293923836583,0.4589741596136772,0.4653579645983133,0.5334095117346479,0.1285712686023082,0.2954836559122442,0.2891747230565359,0.701881859191919,0.4206954226477634,0.3557034252666813,0.7888385622578381,0.1344580956848191,Epithelial,257.3125,1218.0625,aSMA+ Stroma
19,0.4191806455953368,0.5508687793680126,0.3181415603708442,0.6620800111956379,0.1404573777066731,0.3292807231943169,0.3051108281624184,0.8149335600807458,0.4002561192929473,0.3638590961598085,0.8568986605649722,0.125347517930057,Epithelial,262.68831168831167,1339.5454545454545,aSMA+ Stroma
22,0.5263673745162761,0.5015208956400686,0.4330771657659243,0.7027908470756006,0.1578900445754923,0.3430303766062015,0.3106008703806034,0.8184309888117004,0.4278622311629037,0.3559958350402729,0.8466760131790028,0.1251226986332672,Epithelial,263.88157894736844,1175.467105263158,Epithelial
23,0.3748386217531229,0.4712822624360227,0.4396473224158608,0.5929186988494469,0.1588042999690031,0.3110954136271983,0.2957676037624215,0.7892265614907105,0.3941843989493452,0.4363206898427261,0.8495380798175836,0.145570772506222,Epithelial,267.0486725663717,1309.4070796460178,aSMA+ Stroma
24,0.6055266615861825,0.4623072244122841,0.4507830492307275,0.5436702729962334,0.2824477566335266,0.4981207500719935,0.3232289404308592,0.7267364252002038,0.448537197999328,0.441089421341774,0.8173886345113637,0.1422596753787311,Epithelial,266.05128205128204,1197.8461538461538,Epithelial
25,0.4664838790537964,0.500035675921659,0.4998209890895295,0.6304169884233605,0.1290467360415539,0.3413796388032518,0.2569728451760174,0.6935544632978807,0.3998901608012113,0.2814769506730203,0.7535238504919003,0.1221806943651071,Epithelial,265.3170731707317,1098.1707317073171,aSMA+ Stroma
26,0.3564165939014806,0.4234376178414211,0.6739620698202498,0.4341935053973477,0.096718892133853,0.2145752689189929,0.2193094686558109,0.4683160704741925,0.3359938580507119,0.2805360516136806,0.4760909013923839,0.1202256019387113,Epithelial,271.2361111111111,1369.5555555555557,aSMA+ Stroma
30,0.4272544541711683,0.4188460667864208,0.3923435399493842,0.585656336708336,0.3284530026824896,0.35777376689627,0.3637765392601061,0.769291422586621,0.3913143719288808,0.5597114905710577,0.7919213189793148,0.1205982282054421,Epithelial,270.6504424778761,1227.8407079646015,Proliferative Basal Epithelial
34,0.5530164857437548,0.4833894230855349,0.3648953063746726,0.6906976241838557,0.1749887085784903,0.3732270243493445,0.3409769220425286,0.8576964818041896,0.430683684685409,0.401328320787009,0.8770603513414478,0.1225884788333311,Epithelial,272.6454545454545,1320.8636363636365,Epithelial
35,0.3166681189836023,0.4173195598927243,0.5932474922887516,0.4197266494421786,0.1603980136720742,0.3559864001637707,0.3214531368041411,0.558024296046016,0.4264511970509444,0.3069660271705298,0.6964262563953664,0.128429212634404,Epithelial,275.8529411764706,1397.2058823529412,aSMA+ Stroma
38,0.5918889687172899,0.4943473710219022,0.3327958430109682,0.6863865355861173,0.1561651971623932,0.3660195576792444,0.327570769166907,0.8552824044870251,0.4585187531576725,0.3271849638608717,0.8760433646231994,0.1301604931066956,Epithelial,272.0833333333333,1098.0833333333333,Epithelial
39,0.4373029637749254,0.4122656710975898,0.3681531914915967,0.6566009008646166,0.1804122079167959,0.3625994439324298,0.3458689174845471,0.8408060553648543,0.3967788981309981,0.4362951678412212,0.8346729026591144,0.1252808151525811,Epithelial,276.4342105263158,1238.9736842105262,Epithelial
43,0.5189384861319837,0.4392424107436693,0.3747115642353016,0.6484104561601821,0.4366515957916551,0.3819484524497409,0.3575305152480676,0.8401084751540105,0.4167233956310863,0.4920265710543113,0.8395541472618837,0.122977296791827,Proliferative Epithelial,279.11538461538464,1298.6,Proliferative Epithelial
46,0.5149833838477331,0.5225189341520426,0.2619271102931738,0.8006448144937152,0.2193607984254896,0.3906064844468109,0.36639308520146,0.8394399491731294,0.4265092128947317,0.5051133321883611,0.8378403346547811,0.1260927413580937,Proliferative Epithelial,280.54285714285714,1338.0285714285717,Epithelial
47,0.5286725899228947,0.4373944404018547,0.2820718815162908,0.6842667628143182,0.1657787088992332,0.3772749649046593,0.3139692980593043,0.7331754641230245,0.4771808185727752,0.3427385255793757,0.8262987013313787,0.1417272592698067,Epithelial,285.4253731343284,1472.7686567164178,Epithelial
54,0.4492813716236483,0.4249224662238727,0.4138786865219646,0.6911012939988578,0.1491072121375847,0.301881355527709,0.2828720310360792,0.7508342271531627,0.4400955697640467,0.4440806681054254,0.8554587032005204,0.1205384882813552,Epithelial,280.89915966386553,1035.5126050420167,aSMA+ Stroma
56,0.5126504445407131,0.4537929736762168,0.3853174821151738,0.6449769581848533,0.4292604762124687,0.3779950077291191,0.4009348860725686,0.8052410136585885,0.4261441631940437,0.613296472213674,0.8020389173960202,0.122027912666279,Proliferative Epithelial,283.5769230769231,1217.5336538461538,Proliferative Epithelial
