,subject,frequency,panel,cell_type,label_origin
123,50,4,Immune,Stroma,Propagated
124,51,4,Immune,Regulatory T-cells,Propagated
125,52,4,Immune,Basal Epithelial,Propagated
126,53,4,Immune,aSMA+ Stroma,Propagated
127,54,3,Immune,Stroma,Propagated
128,55,3,Immune,Stroma,Propagated
129,56,2,Immune,Macrophages,Propagated
130,57,2,Immune,B-cells,Propagated
131,58,2,Immune,Stroma,Propagated
132,59,2,Immune,aSMA+ Stroma,Propagated
133,60,2,Immune,Stroma,Propagated
134,61,2,Immune,Regulatory T-cells,Propagated
135,62,1,Immune,Epithelial,Propagated
136,63,1,Immune,B-cells,Propagated
137,64,1,Immune,CD8+ T-cells,Propagated
138,65,1,Immune,CD8+ T-cells,Propagated
139,66,1,Immune,Stroma,Propagated
140,67,1,Immune,CD8+ T-cells,Propagated
141,68,1,Immune,B-cells,Propagated
142,69,1,Immune,Proliferative Basal Epithelial,Propagated
143,70,1,Immune,Macrophages,Propagated
144,71,1,Immune,Stroma,Propagated
145,72,1,Immune,Epithelial,Propagated
0,0,1601,Tumor,Epithelial,Original
1,1,1376,Tumor,Basal Epithelial,Original
2,2,904,Tumor,Basal Epithelial,Original
3,3,897,Tumor,Proliferative Basal Epithelial,Original
4,4,808,Tumor,Proliferative Epithelial,Original
5,5,782,Tumor,aSMA+ Stroma,Original
6,6,745,Tumor,Endothelial,Original
7,7,620,Tumor,aSMA+ Stroma,Original
8,8,521,Tumor,Endothelial,Original
9,9,506,Tumor,T-cells,Original
10,10,472,Tumor,Proliferative Basal Epithelial,Original
11,11,468,Tumor,Proliferative Basal Epithelial,Original
12,12,348,Tumor,aSMA+ Stroma,Original
13,13,301,Tumor,Proliferative Epithelial,Original
14,14,290,Tumor,Proliferative Epithelial,Original
15,15,267,Tumor,T-cells,Original
16,16,261,Tumor,Endothelial,Original
17,17,238,Tumor,aSMA+ Stroma,Original
18,18,238,Tumor,Endothelial,Original
19,19,150,Tumor,Proliferative Epithelial,Original
20,20,148,Tumor,aSMA+ Stroma,Original
21,21,141,Tumor,Proliferative Epithelial,Original
22,22,140,Tumor,aSMA+ Stroma,Original
23,23,105,Tumor,Epithelial,Original
24,24,104,Tumor,Epithelial,Original
25,25,82,Tumor,T-cells,Original
26,26,73,Tumor,T-cells,Original
27,27,61,Tumor,T-cells,Original
28,28,61,Tumor,T-cells,Original
29,29,59,Tumor,Proliferative Epithelial,Original
30,30,57,Tumor,T-cells,Original
31,31,55,Tumor,Endothelial,Original
32,32,53,Tumor,Epithelial,Original
33,33,53,Tumor,Proliferative Epithelial,Original
34,34,52,Tumor,Basal Epithelial,Original
35,35,49,Tumor,aSMA+ Stroma,Original
36,36,46,Tumor,Basal Epithelial,Original
37,37,34,Tumor,Endothelial,Original
38,38,29,Tumor,Myoepithelial,Original
39,39,27,Tumor,Proliferative Basal Epithelial,Original
40,40,19,Tumor,Endothelial,Original
41,41,19,Tumor,aSMA+ Stroma,Original
42,42,18,Tumor,Epithelial,Original
43,43,18,Tumor,aSMA+ Stroma,Original
44,44,17,Tumor,Basal Epithelial,Original
45,45,14,Tumor,Proliferative Epithelial,Original
46,46,13,Tumor,Endothelial,Original
47,47,12,Tumor,Basal Epithelial,Original
48,48,10,Tumor,Proliferative Epithelial,Original
49,49,9,Tumor,Proliferative Epithelial,Original
50,50,9,Tumor,Proliferative Basal Epithelial,Original
51,51,8,Tumor,aSMA+ Stroma,Original
52,52,6,Tumor,Endothelial,Original
53,53,6,Tumor,Proliferative Epithelial,Original
54,54,5,Tumor,Epithelial,Original
55,55,4,Tumor,Basal Epithelial,Original
56,56,3,Tumor,Basal Epithelial,Original
57,57,3,Tumor,Proliferative Epithelial,Original
58,58,2,Tumor,aSMA+ Stroma,Original
59,59,2,Tumor,Myoepithelial,Original
60,60,2,Tumor,Epithelial,Original
61,61,2,Tumor,Myoepithelial,Original
62,62,1,Tumor,Endothelial,Original
63,63,1,Tumor,Endothelial,Original
64,64,1,Tumor,Epithelial,Original
65,65,1,Tumor,Epithelial,Original
66,66,1,Tumor,Endothelial,Original
67,67,1,Tumor,Epithelial,Original
68,0,1601,Tumor,Epithelial,Propagated
69,1,1376,Tumor,Basal Epithelial,Propagated
70,2,904,Tumor,Epithelial,Propagated
71,3,897,Tumor,Proliferative Epithelial,Propagated
72,4,808,Tumor,Proliferative Epithelial,Propagated
73,5,782,Tumor,aSMA+ Stroma,Propagated
74,6,745,Tumor,Endothelial,Propagated
75,7,620,Tumor,Macrophages,Propagated
76,8,521,Tumor,CD163+ Macrophages,Propagated
77,9,506,Tumor,CD8+ T-cells,Propagated
78,10,472,Tumor,Epithelial,Propagated
79,11,468,Tumor,Proliferative Basal Epithelial,Propagated
80,12,348,Tumor,Endothelial,Propagated
81,13,301,Tumor,Epithelial,Propagated
82,14,290,Tumor,Proliferative Basal Epithelial,Propagated
83,15,267,Tumor,Regulatory T-cells,Propagated
84,16,261,Tumor,Epithelial,Propagated
85,17,238,Tumor,Epithelial,Propagated
86,18,238,Tumor,Macrophages,Propagated
87,19,150,Tumor,Stroma,Propagated
88,20,148,Tumor,CD8+ T-cells,Propagated
89,21,141,Tumor,Macrophages,Propagated
90,22,140,Tumor,CD163+ Macrophages,Propagated
91,23,105,Tumor,Proliferative Epithelial,Propagated
92,24,104,Tumor,Basal Epithelial,Propagated
93,25,82,Tumor,Macrophages,Propagated
94,26,73,Tumor,CD163+ Macrophages,Propagated
95,27,61,Tumor,B-cells,Propagated
96,28,61,Tumor,aSMA+ Stroma,Propagated
97,29,59,Tumor,CD163+ Macrophages,Propagated
98,30,57,Tumor,Endothelial,Propagated
99,31,55,Tumor,B-cells,Propagated
100,32,53,Tumor,aSMA+ Stroma,Propagated
101,33,53,Tumor,CD8+ T-cells,Propagated
102,34,52,Tumor,Proliferative Epithelial,Propagated
103,35,49,Tumor,Regulatory T-cells,Propagated
104,36,46,Tumor,Proliferative Basal Epithelial,Propagated
105,37,34,Tumor,CD8+ T-cells,Propagated
106,38,29,Tumor,Myoepithelial,Propagated
107,39,27,Tumor,Basal Epithelial,Propagated
108,40,19,Tumor,Regulatory T-cells,Propagated
109,41,19,Tumor,B-cells,Propagated
110,42,18,Tumor,Macrophages,Propagated
111,43,18,Tumor,Stroma,Propagated
112,44,17,Tumor,CD8+ T-cells,Propagated
113,45,14,Tumor,aSMA+ Stroma,Propagated
114,46,13,Tumor,Stroma,Propagated
115,47,12,Tumor,Regulatory T-cells,Propagated
116,48,10,Tumor,Basal Epithelial,Propagated
117,49,9,Tumor,Endothelial,Propagated
118,50,9,Tumor,Macrophages,Propagated
