,immune_id,tumor_id,score
0,4,17,0.19047619047619035
1,5,7,0.7857142857142857
2,7,8,0.16666666666666652
3,9,36,0.8571428571428571
4,10,54,0.2857142857142856
5,11,25,0.3571428571428571
6,16,9,0.38095238095238093
7,21,15,0.5238095238095237
8,23,34,0.38095238095238093
9,24,13,0.16666666666666652
10,26,29,0.23809523809523792
11,28,55,0.33333333333333315
12,29,58,0.2142857142857142
13,31,21,0.45238095238095233
14,33,50,0.6904761904761905
15,34,45,0.09523809523809523
16,35,35,0.33333333333333315
17,36,62,0.09523809523809523
18,37,63,0.38095238095238093
19,38,26,0.0
20,40,41,0.09523809523809523
21,41,23,0.09523809523809523
22,43,96,0.1428571428571428
23,44,27,0.2142857142857142
24,46,16,0.619047619047619
25,47,24,0.3095238095238094
26,48,119,0.07142857142857129
27,49,69,0.23809523809523792
28,50,108,0.26190476190476186
29,51,46,0.04761904761904756
30,53,72,0.5714285714285714
31,54,121,0.19047619047619035
32,55,47,0.07142857142857129
33,56,53,0.2857142857142856
34,59,74,0.04761904761904756
35,60,64,0.23809523809523792
36,62,71,0.09523809523809523
37,63,67,0.07142857142857129
38,64,51,0.23809523809523792
39,65,37,0.19047619047619035
40,66,59,0.1428571428571428
41,68,93,0.1428571428571428
42,69,75,0.16666666666666652
43,70,85,0.5476190476190477
44,71,61,0.07142857142857129
45,73,140,0.09523809523809523
46,79,32,0.38095238095238093
47,81,116,0.5952380952380951
48,83,124,0.04761904761904756
49,84,105,0.1428571428571428
50,85,18,0.04761904761904756
51,86,77,0.3095238095238094
52,87,73,0.26190476190476186
53,89,120,0.2857142857142856
54,91,153,0.09523809523809523
55,93,151,0.47619047619047605
56,94,160,0.07142857142857129
57,95,87,0.07142857142857129
58,97,81,0.3095238095238094
59,98,155,0.38095238095238093
60,99,192,0.09523809523809523
61,100,103,0.2142857142857142
62,102,142,0.5714285714285714
63,105,107,0.023809523809523725
64,108,189,0.2142857142857142
65,109,79,0.16666666666666652
66,111,131,0.11904761904761896
67,114,99,0.07142857142857129
68,115,76,0.04761904761904756
69,117,98,0.19047619047619035
70,118,154,0.1428571428571428
71,119,111,0.023809523809523725
72,120,179,0.5952380952380951
73,122,104,0.26190476190476186
74,123,133,0.5952380952380951
75,124,162,0.3571428571428571
76,127,195,0.2857142857142856
77,130,115,0.16666666666666652
78,132,123,0.07142857142857129
79,133,138,0.023809523809523725
80,134,221,0.19047619047619035
81,135,158,0.619047619047619
82,137,228,0.8333333333333333
83,140,213,0.19047619047619035
84,141,137,0.09523809523809523
85,142,139,0.5238095238095237
86,143,161,0.47619047619047605
87,147,205,0.1428571428571428
88,150,141,0.23809523809523792
89,151,166,0.47619047619047605
90,153,110,0.07142857142857129
91,154,194,0.04761904761904756
92,155,125,0.04761904761904756
93,156,130,0.45238095238095233
94,157,101,0.09523809523809523
95,159,95,0.5952380952380951
96,160,173,0.7619047619047619
97,161,191,0.26190476190476186
98,164,136,0.19047619047619035
99,165,156,0.07142857142857129
100,166,255,0.40476190476190466
101,167,118,0.3571428571428571
102,168,114,0.023809523809523725
103,169,290,0.2142857142857142
104,171,167,0.16666666666666652
105,173,204,0.8333333333333333
106,174,216,0.8571428571428571
107,175,144,0.3571428571428571
108,177,271,0.23809523809523792
109,178,247,0.40476190476190466
110,179,262,0.09523809523809523
111,183,242,0.09523809523809523
112,184,268,0.07142857142857129
113,185,164,0.7142857142857142
114,186,224,0.23809523809523792
115,187,209,0.23809523809523792
