CellID,x,y
2,210.3846153846154,1038.3846153846157
3,250.9183673469388,1359.795918367347
4,254.11428571428573,1237.2857142857142
5,256.5194805194805,1220.0
6,258.1020408163265,1178.7755102040817
8,259.3833333333333,1312.6083333333331
9,258.5,1269.2941176470588
11,260.5508982035928,1253.4131736526947
12,261.2558139534884,1239.6589147286822
13,262.0989583333333,1358.9947916666667
14,264.7421052631579,1326.615789473684
15,265.75,1160.75
16,266.59090909090907,1220.4545454545455
18,266.42105263157896,1304.40350877193
19,267.0,1371.578313253012
20,268.8958333333333,1099.7291666666667
21,268.9861111111111,1208.3125
22,269.72727272727275,1112.4866310160428
23,270.08717948717947,1340.1384615384616
24,269.8533333333333,1379.7866666666666
26,274.7922077922078,1182.069264069264
27,271.91803278688525,1130.5573770491803
28,273.7837837837838,1389.7117117117118
29,275.4142857142857,1200.2428571428572
30,272.3880597014925,1314.3830845771145
31,277.25853658536585,1088.3902439024391
32,276.1061946902655,1230.513274336283
33,280.05494505494505,1283.642857142857
34,277.775,1060.25
35,278.49668874172187,1218.4370860927152
36,280.54545454545456,1449.246753246753
37,281.83098591549293,1151.2957746478874
38,280.1951219512195,1358.3902439024391
39,281.5416666666667,1025.2083333333333
43,283.48809523809524,1190.202380952381
44,283.83,1297.025
45,285.7857142857143,1270.452380952381
46,282.8602941176471,1103.5367647058824
47,283.11764705882354,1390.5882352941176
48,285.317880794702,1340.0529801324503
49,286.65677966101697,1253.5381355932204
50,288.72680412371136,1459.1030927835052
51,289.2116182572614,1205.7676348547718
52,291.7953795379538,1474.3432343234324
53,290.1801801801802,1221.081081081081
54,291.19444444444446,1503.8055555555557
55,291.17098445595855,1184.0725388601036
56,292.5699658703072,1078.4505119453925
57,294.6686746987952,1171.5602409638554
58,291.92,1287.0266666666666
59,293.4891304347826,1447.9076086956522
60,296.3953488372093,1409.5813953488373
61,295.7875,1422.5625
63,293.9417475728156,1115.1601941747572
64,298.34191176470586,1156.845588235294
65,295.83870967741933,1293.645161290323
66,297.31654676258995,1050.2446043165469
67,298.42045454545456,1232.534090909091
68,296.0486725663717,1018.933628318584
69,296.3592233009709,1345.4757281553398
70,300.1311475409836,1374.2622950819673
71,298.8285714285714,1202.9857142857145
72,299.5,1458.7333333333331
73,301.30555555555554,1433.351851851852
74,300.375,1534.827380952381
75,301.0842696629214,1271.741573033708
76,301.61083743842363,1317.384236453202
77,301.19642857142856,1510.196428571429
78,301.4131455399061,1546.9154929577464
79,301.6547619047619,1192.952380952381
80,304.904,1361.528
81,305.6707317073171,1389.0426829268292
82,302.6935483870968,1068.6935483870968
83,306.7721518987342,952.3291139240506
84,307.30514705882354,1144.0514705882354
85,306.45714285714286,1282.1714285714286
86,305.55172413793105,1301.755485893417
87,305.4326923076923,1405.6826923076924
88,306.8424657534247,1476.041095890411
89,307.9,1182.9333333333334
