,CellID,NUCLEI,PDL1,PD1,CD45,DCLAMP,EOMES,CD3,HLAII,CD8,CCR2,GRZB,CD20,CD68,TBET,CD66B,CD11C,CD163,CD11B,CD169,FOXP3,KI67,PANCK,SMA,DSDNA,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,x,y
215,255,31.692456479690524,24.51257253384913,3.4680851063829787,8.375241779497099,12.642166344294004,20.69439071566731,23.961315280464216,11.833655705996131,8.64990328820116,39.152804642166345,21.727272727272727,22.7678916827853,21.60541586073501,14.34816247582205,29.280464216634428,16.292069632495163,17.868471953578336,20.769825918762088,32.66924564796905,34.990328820116055,98.22823984526111,63.25145067698259,15.60541586073501,79.7698259187621,1665.7001934235975,1025.3520309477756,517,27.584011240709096,24.140530178861734,0.4838266125842451,0.9521178637200736,0.6838624338624338,-1.345455602297719,575.6208791208791,1083.1648351648353
216,257,34.01704545454545,16.829545454545453,2.323863636363636,9.752840909090908,11.264204545454543,24.482954545454547,29.76136363636364,7.599431818181818,10.732954545454543,61.54261363636363,27.150568181818183,30.267045454545453,27.588068181818183,17.707386363636363,43.79261363636363,25.69034090909091,22.196022727272727,20.474431818181817,29.69886363636364,34.5625,24.610795454545453,95.9034090909091,30.74715909090909,104.50852272727272,2442.7954545454545,1024.8636363636365,352,25.50040710116896,17.746664861536935,0.718103296591903,0.9696969696969696,0.7287784679089027,0.9156287115670838,570.2676056338029,1681.5774647887324
217,258,19.2318339100346,20.7560553633218,2.5224913494809686,11.806228373702425,15.70242214532872,23.103806228373703,34.39965397923876,10.852941176470589,12.453287197231834,91.73356401384083,24.84083044982699,35.50173010380623,29.27681660899654,22.68166089965398,43.23529411764706,19.610726643598618,26.399653979238757,29.78892733564014,34.84256055363322,41.57093425605537,92.8044982698962,107.72145328719724,30.78719723183391,50.193771626297575,1129.2906574394465,1025.825259515571,578,29.001378456789904,25.39896599318323,0.4827017822235793,0.9813242784380306,0.7972413793103448,-1.3776473406689551,582.5454545454545,667.5561497326203
218,259,24.21032504780115,0.1854684512428298,0.0,0.0,0.0592734225621414,0.0,0.0,0.0,0.0420650095602294,0.011472275334608,0.0133843212237093,0.0688336520076481,0.1070745697896749,0.0841300191204589,0.0038240917782026,0.02868068833652,0.0191204588910133,0.0,1.3919694072657744,0.0,0.0,0.0,0.0095602294455066,64.88910133843213,2148.695984703633,1026.889101338432,523,29.619276225418343,22.658111299842968,0.6440557440668413,0.957875457875458,0.7450142450142451,-0.8441736904767598,574.4770318021201,1455.4911660777386
219,260,26.786057692307693,14.567307692307692,2.0673076923076925,10.379807692307692,11.932692307692308,16.776442307692307,24.43028846153846,8.122596153846153,10.89423076923077,51.46634615384615,24.51923076923077,25.80528846153846,21.557692307692307,16.348557692307693,35.81009615384615,22.88701923076923,18.502403846153847,17.22596153846154,26.098557692307693,30.932692307692307,52.20432692307692,83.37740384615384,24.125,70.32451923076923,2321.0576923076924,1026.2836538461538,416,28.41078574559511,18.79305601814994,0.7499662370926257,0.9563218390804598,0.6698872785829307,0.4707260513391041,572.9329268292682,1587.8658536585365
220,261,27.280645161290323,15.641935483870968,1.941935483870968,12.86774193548387,12.219354838709677,16.998387096774195,34.85967741935484,8.061290322580644,10.932258064516128,72.77741935483871,26.65322580645161,29.116129032258065,23.546774193548387,15.014516129032256,44.76290322580645,27.824193548387097,17.06935483870968,18.59516129032258,29.233870967741936,30.701612903225808,109.64516129032258,70.20161290322581,24.427419354838708,103.21612903225808,1748.0677419354838,1026.4467741935484,620,34.21361288691079,23.30873309937881,0.7320315495788882,0.959752321981424,0.7126436781609196,-0.7715301720364398,577.6520146520146,1145.7582417582419
221,262,24.640138408304495,19.28719723183391,2.1753171856978084,13.972318339100346,14.01845444059977,25.0080738177624,32.15801614763552,9.434832756632064,12.54555940023068,61.95271049596309,25.20876585928489,32.34140715109573,28.38869665513264,18.690888119953865,45.2883506343714,25.199538638985004,23.31603229527105,27.29757785467128,36.06343713956171,45.003460207612456,102.20184544405998,113.71395617070358,38.4083044982699,99.23414071510958,2415.038062283737,1027.222606689735,867,36.033714847372295,30.72103323367391,0.5226235047658747,0.9752530933633295,0.7285714285714285,0.5863955336023162,572.9623824451411,1661.7868338557994
222,263,36.50136239782017,12.9291553133515,0.6239782016348774,4.610354223433243,7.91008174386921,5.986376021798365,20.62397820163488,2.749318801089918,3.553133514986376,47.01089918256131,26.111716621253407,17.422343324250683,14.722070844686648,9.133514986376024,29.21525885558583,16.196185286103542,9.732970027247957,10.8991825613079,20.182561307901903,18.544959128065397,56.79564032697548,39.70844686648501,11.741144414168938,81.6158038147139,1963.138964577657,1028.8119891008175,367,36.569090168396265,12.981914092229692,0.934867473131372,0.9152119700748128,0.5097222222222222,0.6491318739385543,577.7564102564103,1312.525641025641
223,264,30.850775193798448,12.843023255813954,2.2112403100775198,10.83720930232558,10.622093023255816,15.19767441860465,29.58139534883721,6.961240310077519,7.874031007751938,63.79457364341085,24.23062015503876,24.186046511627907,21.124031007751935,12.534883720930232,38.41860465116279,22.53875968992248,14.862403100775191,15.33720930232558,26.912790697674417,30.709302325581397,101.1531007751938,43.05813953488372,18.968992248062012,110.45736434108528,1695.5271317829458,1029.4515503875969,516,32.91569468897833,19.980900613713636,0.7946769091040832,0.9662921348314608,0.7166666666666667,1.0225250953966525,579.5120967741935,1106.8064516129032
224,265,24.88150609080841,23.88704318936877,3.8372093023255816,9.755260243632335,11.685492801771872,20.77519379844961,24.219269102990037,7.803986710963455,7.714285714285714,45.70874861572536,26.083056478405314,19.476190476190474,19.93355481727575,13.462901439645623,31.21816168327796,21.208194905869323,12.514950166112955,19.85271317829457,23.222591362126245,23.25802879291252,31.62015503875969,36.056478405315616,15.36766334440753,52.60686600221484,1634.1539313399778,1032.8870431893688,903,37.592878637642485,30.933278781660384,0.568259460597507,0.9626865671641792,0.762668918918919,-0.2573449742915294,579.7272727272727,1059.6090909090908
