,immune_id,tumor_id,score
0,6,37,0.5714285714285714
1,8,4,0.47619047619047605
2,17,76,0.07142857142857129
3,20,13,0.11904761904761896
4,21,15,0.7142857142857142
5,23,47,0.2142857142857142
6,26,25,0.09523809523809523
7,28,95,0.8571428571428571
8,29,22,0.07142857142857129
9,31,31,0.04761904761904756
10,32,58,0.07142857142857129
11,33,38,0.11904761904761896
12,34,66,0.38095238095238093
13,38,53,0.1428571428571428
14,39,46,0.4999999999999999
15,40,75,0.9047619047619048
16,45,90,0.4999999999999999
17,47,81,0.4999999999999999
18,50,33,0.09523809523809523
19,52,36,0.23809523809523792
20,54,23,0.1428571428571428
21,55,10,0.07142857142857129
22,56,44,0.619047619047619
23,58,73,0.023809523809523725
24,63,93,0.40476190476190466
25,64,60,0.3571428571428571
26,71,174,0.4999999999999999
27,72,109,0.19047619047619035
28,73,121,0.04761904761904756
29,75,137,0.19047619047619035
30,79,126,0.38095238095238093
31,80,164,0.8095238095238095
32,82,157,0.23809523809523792
33,83,87,0.16666666666666652
34,84,48,0.33333333333333315
35,85,74,0.16666666666666652
36,86,91,0.19047619047619035
37,87,62,0.09523809523809523
38,88,110,0.23809523809523792
39,89,135,0.5238095238095237
40,91,134,0.09523809523809523
41,92,201,0.9047619047619048
42,94,24,0.0
43,98,115,0.19047619047619035
44,99,61,0.26190476190476186
45,100,42,0.11904761904761896
46,103,152,0.11904761904761896
47,106,228,0.4285714285714285
48,107,103,0.23809523809523792
49,110,101,0.4285714285714285
50,113,257,0.3095238095238094
51,114,158,0.6904761904761905
52,115,246,0.738095238095238
53,117,159,0.26190476190476186
54,118,148,0.38095238095238093
55,119,192,0.19047619047619035
56,123,82,0.16666666666666652
57,125,280,0.38095238095238093
58,128,130,0.07142857142857129
59,129,184,0.23809523809523792
60,132,140,0.4285714285714285
61,136,77,0.2857142857142856
62,137,128,0.619047619047619
63,138,163,1.0238095238095237
64,141,150,0.4285714285714285
65,142,79,0.07142857142857129
66,145,138,0.16666666666666652
67,148,129,0.16666666666666652
68,149,213,0.1428571428571428
69,150,187,0.23809523809523792
70,151,123,0.19047619047619035
71,154,141,0.1428571428571428
72,155,315,1.1428571428571428
73,156,265,0.3095238095238094
