,immune_id,tumor_id,score
0,3,24,0.2142857142857142
1,5,2,0.16666666666666652
2,6,11,0.09523809523809523
3,7,13,0.11904761904761896
4,11,17,0.09523809523809523
5,12,20,0.9047619047619048
6,13,25,0.04761904761904756
7,14,4,0.19047619047619035
8,15,12,0.04761904761904756
9,16,27,0.5238095238095237
10,17,16,0.09523809523809523
11,19,23,0.6666666666666665
12,20,22,0.26190476190476186
13,22,40,0.023809523809523725
14,24,14,0.023809523809523725
15,25,48,0.16666666666666652
16,26,32,0.04761904761904756
17,27,59,0.1428571428571428
18,28,3,0.3571428571428571
19,30,34,0.09523809523809523
20,31,28,0.7619047619047619
21,33,46,0.023809523809523725
22,37,41,0.09523809523809523
23,38,51,0.11904761904761896
24,42,56,0.023809523809523725
25,43,39,0.6428571428571428
26,45,58,0.07142857142857129
27,46,31,0.38095238095238093
28,47,18,0.0
29,49,43,0.26190476190476186
30,50,35,0.3095238095238094
31,52,76,0.16666666666666652
32,53,99,0.16666666666666652
33,55,47,0.3095238095238094
34,56,49,0.09523809523809523
35,59,68,0.04761904761904756
36,63,73,0.16666666666666652
37,64,66,0.26190476190476186
38,65,57,0.16666666666666652
39,66,113,0.09523809523809523
40,69,91,0.023809523809523725
41,71,83,0.11904761904761896
42,74,78,0.1428571428571428
43,75,86,0.1428571428571428
44,76,131,0.5238095238095237
45,77,79,0.1428571428571428
46,78,112,0.16666666666666652
47,79,87,0.04761904761904756
48,80,90,0.07142857142857129
49,81,63,0.1428571428571428
50,82,70,0.04761904761904756
51,84,123,0.07142857142857129
52,85,72,0.07142857142857129
53,89,141,0.0
54,91,106,0.2142857142857142
55,92,62,1.0
56,94,134,0.9523809523809523
57,95,130,0.23809523809523792
58,99,104,0.0
59,100,80,0.04761904761904756
60,102,170,0.26190476190476186
61,104,110,0.0
62,105,126,0.09523809523809523
63,106,95,0.2142857142857142
64,107,174,0.16666666666666652
65,109,143,0.33333333333333315
66,110,107,0.3095238095238094
67,111,89,0.11904761904761896
68,113,108,0.19047619047619035
69,114,118,0.0
70,116,149,0.09523809523809523
71,118,102,0.1428571428571428
72,119,92,0.7857142857142857
73,120,82,0.1428571428571428
74,122,138,0.023809523809523725
75,123,171,0.1428571428571428
76,124,101,0.023809523809523725
77,125,137,0.8571428571428571
78,126,148,0.3571428571428571
